spent-media,temp(G),species,od,time point,,
S18,21,WYM25_03(S18),0.15125,39,,
S18,21,WYM25_03(S18),0.17125,45,,
S18,21,WYM25_03(S18),0.17875,51,,
S18,21,WYM25_03(S18),0.193416667,63,,
S18,21,WYM25_03(S18),0.177333333,69,,
S18,21,WYM25_03(S18),0.167166667,75,,
S18,21,WYM25_03(S18),0.18725,87,,
S18,21,WYM25_03(S18),0.185333333,93,,
S18,21,WYM25_03(S18),0.183333333,111,,
S18,21,WYM25_03(S18),0.169166667,117,,
S18,21,WYM25_03(S18),0.156416667,123,,
S18,25,WYM25_03(S18),0.003733333,0,,
S18,25,WYM25_03(S18),0.1131,14,,
S18,25,WYM25_03(S18),0.1489,20,,
S18,25,WYM25_03(S18),0.149433333,26,,
S18,25,WYM25_03(S18),0.150533333,38,,
S18,25,WYM25_03(S18),0.1794,44,,
S18,25,WYM25_03(S18),0.203133333,50,,
S18,25,WYM25_03(S18),0.256633333,62,,
S18,25,WYM25_03(S18),0.260666667,68,,
S18,25,WYM25_03(S18),0.246033333,74,,
S18,25,WYM25_03(S18),0.258833333,86,,
S18,25,WYM25_03(S18),0.260433333,92,,
S18,25,WYM25_03(S18),0.255133333,110,,
S18,25,WYM25_03(S18),0.2128,116,,
S18,25,WYM25_03(S18),0.2273,122,,
S18,28,WYM25_03(S18),0.014333333,0,,
S18,28,WYM25_03(S18),0.118166667,13,,
S18,28,WYM25_03(S18),0.149,19,,
S18,28,WYM25_03(S18),0.180166667,25,,
S18,28,WYM25_03(S18),0.21,37,,
S18,28,WYM25_03(S18),0.225166667,43,,
S18,28,WYM25_03(S18),0.2265,49,,
S18,28,WYM25_03(S18),0.2305,61,,
S18,28,WYM25_03(S18),0.250833333,67,,
S18,28,WYM25_03(S18),0.256333333,73,,
S18,28,WYM25_03(S18),0.259833333,85,,
S18,28,WYM25_03(S18),0.284166667,91,,
S18,28,WYM25_03(S18),0.284666667,109,,
S18,28,WYM25_03(S18),0.255666667,115,,
S18,28,WYM25_03(S18),0.277666667,121,,
S18,12,BB13_09(S18),0.004366667,0,,
S18,12,BB13_09(S18),0.085,17,,
S18,12,BB13_09(S18),0.1337,23,,
S18,12,BB13_09(S18),0.1667,29,,
S18,12,BB13_09(S18),0.21905,41,,
S18,12,BB13_09(S18),0.2095,47,,
S18,12,BB13_09(S18),0.219,53,,
S18,12,BB13_09(S18),0.2203,65,,
S18,12,BB13_09(S18),0.22755,71,,
S18,12,BB13_09(S18),0.23205,77,,
S18,12,BB13_09(S18),0.2353,89,,
S18,12,BB13_09(S18),0.2358,95,,
S18,12,BB13_09(S18),0.2364,101,,
S18,12,BB13_09(S18),0.2388,113,,
S18,12,BB13_09(S18),0.24005,119,,
S18,12,BB13_09(S18),0.2437,125,,
S18,15,BB13_09(S18),0.001333333,0,,
S18,15,BB13_09(S18),0.098,16,,
S18,15,BB13_09(S18),0.150666667,22,,
S18,15,BB13_09(S18),0.210833333,28,,
S18,15,BB13_09(S18),0.1995,40,,
S18,15,BB13_09(S18),0.187666667,46,,
S18,15,BB13_09(S18),0.2015,52,,
S18,15,BB13_09(S18),0.202166667,64,,
S18,15,BB13_09(S18),0.190833333,70,,
S18,15,BB13_09(S18),0.206833333,76,,
S18,15,BB13_09(S18),0.228666667,88,,
S18,15,BB13_09(S18),0.2155,94,,
S18,15,BB13_09(S18),0.241,112,,
S18,15,BB13_09(S18),0.215666667,118,,
S18,15,BB13_09(S18),0.184166667,124,,
S18,18,BB13_09(S18),-0.003433333,0,,
S18,18,BB13_09(S18),-0.002566667,15,,
S18,18,BB13_09(S18),-0.002733333,21,,
S18,18,BB13_09(S18),-0.002066667,27,,
S18,18,BB13_09(S18),-0.002166667,39,,
S18,18,BB13_09(S18),-0.002266667,45,,
S18,18,BB13_09(S18),-0.0036,51,,
S18,18,BB13_09(S18),-0.002533333,63,,
S18,18,BB13_09(S18),-0.002566667,69,,
S18,18,BB13_09(S18),-0.002566667,75,,
S18,18,BB13_09(S18),-0.002966667,87,,
S18,18,BB13_09(S18),-0.003266667,93,,
S18,18,BB13_09(S18),-0.0031,111,,
S18,18,BB13_09(S18),-0.002533333,117,,
S18,18,BB13_09(S18),-0.002733333,123,,
S18,21,BB13_09(S18),0.000166667,0,,
S18,21,BB13_09(S18),0.121333333,15,,
S18,21,BB13_09(S18),0.1645,21,,
S18,21,BB13_09(S18),0.155,27,,
S18,21,BB13_09(S18),0.1445,39,,
S18,21,BB13_09(S18),0.151333333,45,,
S18,21,BB13_09(S18),0.148333333,51,,
S18,21,BB13_09(S18),0.160666667,63,,
S18,21,BB13_09(S18),0.154166667,69,,
S18,21,BB13_09(S18),0.15,75,,
