species,od,temp(G),time point
BB19_16,0.212333333,28,116
BB19_16,0.2,28,120
WYC41_02,0.0022,12,0
WYC41_02,0.0086,12,4
WYC41_02,0.011,12,8
WYC41_02,0.1445,12,20
WYC41_02,0.1805,12,24
WYC41_02,0.177,12,28
WYC41_02,0.1802,12,32
WYC41_02,0.158633333,12,44
WYC41_02,0.155666667,12,48
WYC41_02,0.156133333,12,52
WYC41_02,0.1525,12,56
WYC41_02,0.162333333,12,68
WYC41_02,0.160866667,12,72
WYC41_02,0.163133333,12,76
WYC41_02,0.1627,12,80
WYC41_02,0.169666667,12,92
WYC41_02,0.162833333,12,96
WYC41_02,0.160666667,12,100
WYC41_02,0.164633333,12,104
WYC41_02,0.1717,12,116
WYC41_02,0.16,12,120
WYC41_02,0.005,15,0
WYC41_02,0.008466667,15,4
WYC41_02,0.0232,15,8
WYC41_02,0.1802,15,20
WYC41_02,0.169466667,15,24
WYC41_02,0.1598,15,28
WYC41_02,0.157,15,32
WYC41_02,0.144933333,15,44
WYC41_02,0.1471,15,48
WYC41_02,0.1508,15,52
WYC41_02,0.149533333,15,56
WYC41_02,0.159866667,15,68
WYC41_02,0.152533333,15,72
WYC41_02,0.153866667,15,76
WYC41_02,0.1571,15,80
WYC41_02,0.167533333,15,92
WYC41_02,0.1572,15,96
WYC41_02,0.1577,15,100
WYC41_02,0.1598,15,104
WYC41_02,0.1683,15,116
WYC41_02,0.15855,15,120
WYC41_02,-0.0036,18,0
WYC41_02,-0.0092,18,4
WYC41_02,0.0563,18,8
WYC41_02,0.2114,18,20
WYC41_02,0.2042,18,24
WYC41_02,0.2011,18,28
WYC41_02,0.1904,18,32
WYC41_02,0.198,18,44
WYC41_02,0.2122,18,48
WYC41_02,0.2166,18,52
WYC41_02,0.216,18,56
WYC41_02,0.2245,18,68
WYC41_02,0.2196,18,72
WYC41_02,0.2162,18,76
WYC41_02,0.2133,18,80
WYC41_02,0.226,18,92
WYC41_02,0.2246,18,96
WYC41_02,0.21632,18,100
WYC41_02,0.2138,18,104
WYC41_02,0.225,18,116
WYC41_02,0.215,18,120
WYC41_02,0.0024,21,0
WYC41_02,0.00655,21,4
WYC41_02,0.06735,21,8
WYC41_02,0.2082,21,20
WYC41_02,0.2064,21,24
WYC41_02,0.2008,21,28
WYC41_02,0.2042,21,32
WYC41_02,0.2536,21,44
WYC41_02,0.2073,21,48
WYC41_02,0.2049,21,52
WYC41_02,0.2041,21,56
WYC41_02,0.228,21,68
WYC41_02,0.2682,21,72
WYC41_02,0.2677,21,76
WYC41_02,0.2628,21,80
WYC41_02,0.2658,21,92
WYC41_02,0.2452,21,96
WYC41_02,0.2363,21,100
WYC41_02,0.241,21,104
WYC41_02,0.2322,21,116
WYC41_02,0.214333333,21,120
WYC41_02,0.0058,25,0
WYC41_02,0.012,25,4
WYC41_02,0.1708,25,8
WYC41_02,0.2103,25,20
WYC41_02,0.2165,25,24
WYC41_02,0.255083333,25,28
WYC41_02,0.22505,25,32
WYC41_02,0.2423,25,44
WYC41_02,0.2522,25,48
WYC41_02,0.239366667,25,52
WYC41_02,0.245966667,25,56
WYC41_02,0.2665,25,68
WYC41_02,0.247233333,25,72
WYC41_02,0.2268,25,76
WYC41_02,0.2555,25,80
WYC41_02,0.277533333,25,92
WYC41_02,0.262,25,96
WYC41_02,0.2757,25,100
WYC41_02,0.271633333,25,104
WYC41_02,0.2958,25,116
WYC41_02,0.306,25,120
WYC41_02,0.0022,28,0
WYC41_02,0.006833333,28,4
WYC41_02,0.057133333,28,8
WYC41_02,0.231033333,28,20
WYC41_02,0.241166667,28,24
WYC41_02,0.261166667,28,28
WYC41_02,0.281866667,28,32
WYC41_02,0.286,28,44
WYC41_02,0.2229,28,48
WYC41_02,0.2101,28,52
WYC41_02,0.215166667,28,56
WYC41_02,0.209266667,28,68
WYC41_02,0.217766667,28,72
WYC41_02,0.2145,28,76
WYC41_02,0.2246,28,80
WYC41_02,0.2228,28,92
WYC41_02,0.2188,28,96
WYC41_02,0.2198,28,100
WYC41_02,0.2004,28,104
WYC41_02,0.1964,28,116
WYC41_02,0.185,28,120
WYM25_02,0.0025,12,0
WYM25_02,0.0245,12,4
WYM25_02,0.04125,12,8
WYM25_02,0.068833333,12,20
WYM25_02,0.1585,12,24
WYM25_02,0.1937,12,28
WYM25_02,0.179533333,12,32
WYM25_02,0.154633333,12,44
WYM25_02,0.161333333,12,48
WYM25_02,0.1643,12,52
WYM25_02,0.165166667,12,56
WYM25_02,0.168333333,12,68
WYM25_02,0.169366667,12,72
WYM25_02,0.171966667,12,76
WYM25_02,0.1722,12,80
WYM25_02,0.1785,12,92
WYM25_02,0.1818,12,96
WYM25_02,0.177666667,12,100
WYM25_02,0.176966667,12,104
WYM25_02,0.1834,12,116
WYM25_02,0.181566667,12,120
WYM25_02,0.0113,15,0
WYM25_02,0.021466667,15,4
WYM25_02,0.035533333,15,8
