Spent_media,Temp,Species,Rmax,K,AUC,AUCf,aucratio,log10(ratio)
S18,18,SP03_02,0.029803682,0.230585613,20.12024999,22.21541333,0.905688753,-0.0430 
S18,21,SP03_02,0.190882935,0.178747914,19.86175,23.21233333,0.85565504,-0.0677 
S18,25,SP03_02,0.077831614,0.257768872,25.78923331,26.115,0.987525687,-0.0055 
S18,28,SP03_02,0.079475579,0.348003811,33.76176666,26.18466666,1.289371643,0.1104 
S18,12,SP03_19,0.109728958,0.221240346,23.58695,15.50099999,1.52164054,0.1823 
S18,15,SP03_19,0.091971527,0.214492077,21.17456667,17.92573332,1.181238519,0.0723 
S18,18,SP03_19,0.290117689,0.13878629,15.61975001,20.30084667,0.769413723,-0.1138 
S18,21,SP03_19,0.198184091,0.189174438,20.86524999,21.91980001,0.951890527,-0.0214 
S18,25,SP03_19,0.068858171,0.294353246,26.96263331,19.4858,1.383706766,0.1410 
S18,28,SP03_19,0.162013562,0.301246622,31.63524999,20.84536667,1.517615425,0.1812 
BB13_09,12,S18,0.024280002,-0.085661771,1.633749994,15.20860001,0.107422773,-0.9689 
BB13_09,15,S18,0.080480147,0.010416883,1.146400001,16.85966666,0.067996599,-1.1675 
BB13_09,18,S18,0.076618396,0.024201942,1.81670001,23.41081333,0.077600893,-1.1101 
BB13_09,21,S18,0.149081443,0.189922794,17.50949999,21.81786666,0.802530342,-0.0955 
BB13_09,25,S18,0.009532596,-0.022886072,4.011066663,23.3699,0.171633882,-0.7654 
BB13_09,28,S18,0.123582587,0.016822296,1.861416678,26.6884,0.069746282,-1.1565 
BB13_09,12,S56,0.033484644,0.028829276,1.511999992,16.0574,0.094162193,-1.0261 
BB13_09,15,S56,0.086785514,0.014885003,1.600250001,19.30353333,0.082899331,-1.0814 
BB13_09,18,S56,0.015327524,-0.408931694,7.54250001,25.66334667,0.293901653,-0.5318 
BB13_09,21,S56,0.065292219,0.339221057,22.04575,22.62203333,0.974525573,-0.0112 
BB13_09,25,S56,0.023565834,0.002651259,0.373166678,25.96493335,0.014371948,-1.8425 
BB13_09,28,S56,0.193288515,0.024568868,2.734666662,29.9808,0.091213932,-1.0399 
BB13_09,12,BB19_16,0.037729715,0.125819006,5.729000007,26.92722667,0.212758636,-0.6721 
BB13_09,15,BB19_16,0.098880876,0.069871933,3.119250001,28.36453333,0.10997008,-0.9587 
BB13_09,18,BB19_16,0.217526719,0.045093517,3.07925001,26.72568,0.1152169,-0.9385 
BB13_09,21,BB19_16,0.088363075,0.106632504,9.061750001,25.99873333,0.348545827,-0.4577 
BB13_09,25,BB19_16,0.032355937,0.010772746,1.144666666,30.68213334,0.037307271,-1.4282 
BB13_09,28,BB19_16,0.198059938,0.02307268,2.611333326,26.71133333,0.09776125,-1.0098 
BB13_09,12,WYC41_02,0.221024804,-1,-0.158916664,17.44893333,-0.009107529,#NUM!
BB13_09,15,WYC41_02,5.13E-08,9.79E-09,0.291166664,17.09456666,0.017032702,-1.7687 
BB13_09,18,WYC41_02,1.08E-06,-2.45E-07,0.37524999,23.02688,0.016296172,-1.7879 
BB13_09,21,WYC41_02,0.503327189,0.184307452,18.468625,25.14486667,0.734488882,-0.1340 
BB13_09,25,WYC41_02,1.26E-06,-5.17E-06,0.624416663,28.2622,0.022093703,-1.6557 
BB13_09,28,WYC41_02,0.26789223,0.018379822,2.071416663,24.62386667,0.084122315,-1.0751 
BB13_09,12,WYM25_02,0.094362779,0.070981189,2.495000002,17.8912,0.139454033,-0.8556 
BB13_09,15,WYM25_02,0.078846506,0.105100843,0.619400001,17.62583333,0.035141601,-1.4542 
BB13_09,18,WYM25_02,0.071567599,0.273634469,11.24405,23.33681334,0.481815998,-0.3171 
BB13_09,21,WYM25_02,0.584895239,0.17949888,17.7485,24.45086667,0.72588429,-0.1391 
BB13_09,25,WYM25_02,0.059086543,0.437049493,19.54046667,29.46093334,0.663267061,-0.1783 
BB13_09,28,WYM25_02,0.383684314,0.021714027,2.426616685,27.74326666,0.08746687,-1.0582 
BB13_09,12,WYM25_03,0.092056687,0.088747019,2.623416671,17.68059999,0.14837826,-0.8286 
BB13_09,15,WYM25_03,0.018106741,-0.027890874,2.748000001,17.14933335,0.160239465,-0.7952 
BB13_09,18,WYM25_03,0.134747309,0.250720314,15.54200001,21.66688,0.717316015,-0.1443 
BB13_09,21,WYM25_03,0.197909637,0.251734813,26.641375,23.2406,1.146329053,0.0593 
BB13_09,25,WYM25_03,0.075491118,0.305190799,15.80666666,26.28133334,0.601440819,-0.2208 
BB13_09,28,WYM25_03,2.678091072,0.017059524,2.022250008,23.70446665,0.085310926,-1.0690 
BB13_09,12,BB13_09,0.094746115,0.219376781,7.242791675,17.3386,0.417726441,-0.3791 
BB13_09,15,BB13_09,0.009825868,0.000435892,0.116333336,20.42733334,0.005694984,-2.2445 
BB13_09,18,BB13_09,0.062998247,0.295865484,10.69715001,23.93607999,0.44690484,-0.3498 
BB13_09,21,BB13_09,0.401634151,0.203791526,20.65524999,22.58153333,0.914696522,-0.0387 
BB13_09,25,BB13_09,0.064339206,0.298325841,14.64766666,25.85166668,0.566604345,-0.2467 
BB13_09,28,BB13_09,3.505071296,0.012261905,1.501166667,11.78426666,0.127387364,-0.8949 
BB13_09,12,SP03_02,0.158022304,0.167503751,4.840583314,21.59753335,0.224126674,-0.6495 
BB13_09,15,SP03_02,0.098346371,0.02813831,0.478333338,20.90153334,0.022885084,-1.6404 
BB13_09,18,SP03_02,0.115626716,0.26501907,6.98037501,22.21541333,0.31421315,-0.5028 
BB13_09,21,SP03_02,0.466928937,0.208562983,22.21450001,23.21233333,0.957012795,-0.0191 
BB13_09,25,SP03_02,0.101948337,0.262135187,10.88666666,26.115,0.416874082,-0.3800 
BB13_09,28,SP03_02,4.794351041,0.009547619,1.180333346,26.18466666,0.045077272,-1.3460 
BB13_09,12,SP03_19,0.032224204,0.002645288,0.356333351,15.50099999,0.022987765,-1.6385 
BB13_09,15,SP03_19,0.038466804,-0.10326052,3.095500001,17.92573332,0.172684707,-0.7627 
BB13_09,18,SP03_19,0.050048995,2.895403733,5.878000002,20.30084667,0.289544574,-0.5383 
BB13_09,21,SP03_19,0.358184966,0.231072488,22.3507,21.91980001,1.019658026,0.0085 
BB13_09,25,SP03_19,0.102140561,0.278423216,12.96041666,19.4858,0.665121096,-0.1771 
BB13_09,28,SP03_19,0.038896297,0.271115157,17.49333334,20.84536667,0.839195281,-0.0761 
BB19_16,12,S18,0.163467172,0.230844569,19.63666667,15.20860001,1.291155442,0.1110 
BB19_16,15,S18,0.074407614,0.277047593,19.47758333,16.85966666,1.155276894,0.0627 
BB19_16,18,S18,0.053267857,0.312889449,18.5365,23.41081333,0.791792226,-0.1014 
