spent-media,temp(SM),temp(G),species,OD,time point
BB13_09,15,25(15),S56(BB13_09),0.0075,98
BB13_09,15,25(15),S56(BB13_09),0.007166667,104
BB13_09,15,25(15),S56(BB13_09),0.013166667,117
BB13_09,12,28(12),S56(BB13_09),0.010666667,0
BB13_09,12,28(12),S56(BB13_09),0.015833333,18
BB13_09,12,28(12),S56(BB13_09),0.015666667,24
BB13_09,12,28(12),S56(BB13_09),0.013833333,30
BB13_09,12,28(12),S56(BB13_09),0.009666667,42
BB13_09,12,28(12),S56(BB13_09),0.009833333,48
BB13_09,12,28(12),S56(BB13_09),0.006166667,54
BB13_09,12,28(12),S56(BB13_09),0.005666667,71
BB13_09,12,28(12),S56(BB13_09),0.004833333,77
BB13_09,12,28(12),S56(BB13_09),0.0085,89
BB13_09,12,28(12),S56(BB13_09),0.0035,95
BB13_09,12,28(12),S56(BB13_09),0.003333333,101
BB13_09,12,28(12),S56(BB13_09),0.007666667,114
BB13_09,12,28(12),S56(BB13_09),0.0095,120
BB13_09,18,28(18),S56(BB13_09),0.012666667,0
BB13_09,18,28(18),S56(BB13_09),0.011,6
BB13_09,18,28(18),S56(BB13_09),0.008,18
BB13_09,18,28(18),S56(BB13_09),0.004166667,23
BB13_09,18,28(18),S56(BB13_09),0.014166667,29
BB13_09,18,28(18),S56(BB13_09),0.0115,42
BB13_09,18,28(18),S56(BB13_09),0.005333333,47
BB13_09,18,28(18),S56(BB13_09),0.005,53
BB13_09,18,28(18),S56(BB13_09),0.0055,67
BB13_09,18,28(18),S56(BB13_09),0.018666667,72
BB13_09,18,28(18),S56(BB13_09),0.005333333,77
BB13_09,18,28(18),S56(BB13_09),0.005,90
BB13_09,18,28(18),S56(BB13_09),0.012666667,96
BB13_09,18,28(18),S56(BB13_09),0.019333333,101
BB13_09,18,28(18),S56(BB13_09),0.017333333,114
BB13_09,28,12(28),BB19_16(BB13_09),0.018833333,0
BB13_09,28,12(28),BB19_16(BB13_09),0.017166667,18
BB13_09,28,12(28),BB19_16(BB13_09),0.017333333,24
BB13_09,28,12(28),BB19_16(BB13_09),0.0155,30
BB13_09,28,12(28),BB19_16(BB13_09),0.012333333,42
BB13_09,28,12(28),BB19_16(BB13_09),0.0155,48
BB13_09,28,12(28),BB19_16(BB13_09),0.012666667,54
BB13_09,28,12(28),BB19_16(BB13_09),0.011833333,72
BB13_09,28,12(28),BB19_16(BB13_09),0.0135,78
BB13_09,28,12(28),BB19_16(BB13_09),0.012333333,90
BB13_09,28,12(28),BB19_16(BB13_09),0.011,96
BB13_09,28,12(28),BB19_16(BB13_09),0.012166667,102
BB13_09,28,12(28),BB19_16(BB13_09),0.012333333,114
BB13_09,28,12(28),BB19_16(BB13_09),0.012333333,120
BB13_09,21,12(21),BB19_16(BB13_09),0.011333333,0
BB13_09,21,12(21),BB19_16(BB13_09),0.008166667,13
BB13_09,21,12(21),BB19_16(BB13_09),0.007166667,19
BB13_09,21,12(21),BB19_16(BB13_09),0.006666667,25
BB13_09,21,12(21),BB19_16(BB13_09),0.005666667,38
BB13_09,21,12(21),BB19_16(BB13_09),0.005,43
